Symptom(s),Possible Disease,Precautions,Treatment
"Muscle Weakness, Fatigue, Diarrhea",Migraine,"Avoid bright lights, Use an inhaler","Cognitive Therapy, Pacemaker Implantation, Insulin"
"Numbness, Back Pain",Hypertension,Wash hands frequently,"Pacemaker Implantation, Cough Syrup"
"Swelling in Legs, Itchy Eyes, Joint Pain",Mental Stress,"Avoid allergens, Reduce salt intake","Chemotherapy, Steroids"
"Diarrhea, Muscle Weakness, Mood Swings, Joint Pain",PCOS,"Regular health checkups, Avoid allergens","Surgery, Hormonal Therapy"
"Runny Nose, Nausea, Shortness of Breath, Nosebleeds",Heart Attack,"Avoid bright lights, Take vaccines","Oral Rehydration, Antihistamines, Radiation Therapy"
"Tingling Sensation, Heart Palpitations",Food Poisoning,Wash hands frequently,"Vaccination, Antibiotics, Skin Creams"
"High Blood Pressure, Memory Loss, Excessive Thirst",Pancreatitis,"Regular health checkups, Exercise regularly, Avoid allergens","Painkillers, Dietary Supplements"
"Diarrhea, Sweating",Flu,Rest,"Cough Syrup, Insulin, Cognitive Therapy"
"Shortness of Breath, Difficulty Swallowing, Cold Hands",Stroke,"Use sunscreen, Wear a mask","IV Fluids, Eye Drops"
"Abdominal Pain, Swollen Glands",Hepatitis,"Use an inhaler, Reduce salt intake, Reduce caffeine intake","Psychotherapy, Cognitive Therapy"
"Dry Skin, Sweating, Chest Pain, Muscle Weakness",Parkinson’s Disease,Avoid smoking,"Oral Rehydration, Physiotherapy"
"Excessive Thirst, Nosebleeds, Blurred Vision, Swollen Glands",Leukemia,"Get proper nutrition, Meditate daily","Paracetamol, Antihistamines"
"Dry Skin, Mood Swings, Headache",Epilepsy,Avoid allergens,"Oral Rehydration, IV Fluids"
"Numbness, Muscle Weakness, Cough",Thyroid Disease,Take vaccines,"Blood Thinners, Inhalers"
"Tingling Sensation, Nosebleeds, Diarrhea",Sinusitis,Maintain hygiene,"Bone Marrow Transplant, Dietary Supplements, Chemotherapy"
"Nausea, Mood Swings, Joint Pain",Eczema,"Get proper nutrition, Use an inhaler, Rest",Vaccination
"Sore Throat, Abdominal Pain, Memory Loss, Nosebleeds",Pneumonia,"Meditate daily, Exercise regularly",Surgery
"Shortness of Breath, Joint Pain, Frequent Urination, Tremors",Lupus,Drink herbal tea,"Pacemaker Implantation, Oral Rehydration"
"Cold Hands, Tingling Sensation, Nausea",Epilepsy,"Avoid alcohol, Reduce caffeine intake",Cough Syrup
"Muscle Weakness, Fatigue, Loss of Appetite, Cough",Common Cold,"Avoid alcohol, Avoid allergens",Radiation Therapy
"Runny Nose, Numbness",PCOS,"Use an inhaler, Monitor blood pressure","Oral Rehydration, Insulin"
"Cold Hands, Headache, Abdominal Pain, Mood Swings",Stroke,Reduce caffeine intake,"Skin Creams, Hormonal Therapy, Painkillers"
"Dry Skin, Headache",Colon Cancer,"Use mosquito repellent, Use sunscreen, Monitor blood pressure",Cough Syrup
"Difficulty Swallowing, Rash",Thyroid Disease,"Sleep properly, Rest","Bone Marrow Transplant, Vitamin Supplements, Dietary Supplements"
"Chest Pain, Weight Loss",Flu,"Reduce sugar intake, Meditate daily, Exercise regularly",Shockwave Therapy
"Excessive Thirst, Sensitivity to Light, Dry Skin, Chest Pain",Lupus,"Use an inhaler, Drink herbal tea, Wear a mask",Dietary Supplements
"Shortness of Breath, Runny Nose, Joint Pain",PCOS,"Reduce caffeine intake, Drink herbal tea","Chemotherapy, Cognitive Therapy, Inhalers"
"Diarrhea, Runny Nose, Headache",Dengue,Avoid smoking,"Hormonal Therapy, IV Fluids, Surgery"
"Excessive Thirst, Fever",Tuberculosis,Monitor blood pressure,Paracetamol
"Numbness, Diarrhea, Headache",Diabetes,"Drink herbal tea, Wash hands frequently, Reduce caffeine intake","Pacemaker Implantation, Insulin, Radiation Therapy"
"Sensitivity to Light, Swelling in Legs",Arrhythmia,"Wear a mask, Take vaccines, Reduce sugar intake","Skin Creams, Inhalers"
"Ear Pain, Numbness, Headache, Dizziness",Epilepsy,Maintain hygiene,"Antiviral Drugs, Cough Syrup, Bone Marrow Transplant"
"Heart Palpitations, Chest Pain, Nosebleeds, Rash",Asthma,Reduce caffeine intake,"Paracetamol, Cough Syrup"
"Mood Swings, Weight Loss, Abdominal Pain",Leukemia,"Reduce caffeine intake, Reduce sugar intake, Get proper nutrition",Psychotherapy
"Itchy Eyes, Swelling in Legs, Headache, Ear Pain",Epilepsy,Monitor blood pressure,Cognitive Therapy
"Cough, Sore Throat, Chest Pain",Stroke,"Use mosquito repellent, Regular health checkups",Blood Thinners
"Runny Nose, Back Pain",Brain Tumor,"Avoid smoking, Reduce salt intake","Dietary Supplements, Chemotherapy"
"Sneezing, Sensitivity to Light, Memory Loss",Thyroid Disease,"Use sunscreen, Get proper nutrition","Shockwave Therapy, Radiation Therapy, Surgery"
"Memory Loss, Excessive Thirst",Epilepsy,"Avoid crowded places, Use mosquito repellent, Use sunscreen","Antihistamines, Vaccination, Anti-inflammatory Drugs"
"Swollen Glands, Heart Palpitations",Vertigo,"Use mosquito repellent, Stay hydrated, Regular health checkups",Cognitive Therapy
"Low Blood Pressure, Swelling in Legs, Mood Swings, Sensitivity to Light",Typhoid,"Stay hydrated, Monitor blood pressure, Avoid alcohol","Chemotherapy, Eye Drops, Vaccination"
"Weight Loss, Swelling in Legs, Cough",Food Poisoning,"Stay hydrated, Meditate daily, Use an inhaler","Cough Syrup, Psychotherapy, Oral Rehydration"
"Back Pain, Nosebleeds, Excessive Thirst, Tingling Sensation",Vertigo,"Sleep properly, Use an inhaler",Radiation Therapy
"Swollen Glands, High Blood Pressure, Difficulty Swallowing, Blurred Vision",Heart Attack,Take vaccines,Pacemaker Implantation
"Abdominal Pain, Memory Loss",Sciatica,"Wash hands frequently, Use an inhaler, Take vaccines","Surgery, Hormonal Therapy"
"Blurred Vision, Difficulty Swallowing, Sneezing, Shortness of Breath",Vertigo,"Use sunscreen, Wash hands frequently","Vaccination, Hormonal Therapy, Chemotherapy"
"Runny Nose, Nosebleeds, Fatigue, Swelling in Legs",Typhoid,"Drink herbal tea, Meditate daily, Get proper nutrition",Antihistamines
"Abdominal Pain, Fatigue, Sore Throat",Hepatitis,"Monitor blood pressure, Use sunscreen",Antiviral Drugs
"Tingling Sensation, Fatigue",Asthma,"Stay hydrated, Sleep properly, Eat healthy","Antihistamines, Vaccination, Chemotherapy"
"Nosebleeds, Ear Pain",Vertigo,"Meditate daily, Regular health checkups","Antifungal Medication, Insulin, Emergency Medical Help"
"Diarrhea, Itchy Eyes, Swelling in Legs, Sore Throat",Glaucoma,"Exercise regularly, Avoid bright lights, Drink herbal tea",Physiotherapy
"Shortness of Breath, Back Pain, Joint Pain, Sneezing",Migraine,Use sunscreen,"Shockwave Therapy, Cough Syrup, Chemotherapy"
"Sore Throat, Ear Pain, Chest Pain",Hepatitis,"Maintain hygiene, Reduce sugar intake, Monitor blood pressure","Insulin, Emergency Medical Help"
"Headache, Swollen Glands, Loss of Appetite, Memory Loss",Parkinson’s Disease,"Eat healthy, Reduce caffeine intake",Skin Creams
"Nausea, Chest Pain, Tingling Sensation, Runny Nose",Bronchitis,"Avoid alcohol, Regular health checkups, Drink herbal tea",Cognitive Therapy
"Joint Pain, Memory Loss",Glaucoma,"Avoid smoking, Avoid allergens","Cognitive Therapy, Emergency Medical Help, Pacemaker Implantation"
"Rash, Numbness, Back Pain",Vertigo,"Wash hands frequently, Avoid stress","Cough Syrup, Blood Thinners, Dietary Supplements"
"Mood Swings, Dizziness",Pancreatitis,"Rest, Avoid crowded places, Stay hydrated","Anti-inflammatory Drugs, Antibiotics, Bone Marrow Transplant"
"Joint Pain, Tremors",Kidney Stones,"Stay hydrated, Avoid stress","Steroids, Vitamin Supplements, Antihistamines"
"Sweating, Nosebleeds",Stroke,"Eat healthy, Take vaccines, Use mosquito repellent",Eye Drops
"Difficulty Swallowing, Muscle Weakness, Runny Nose, Shortness of Breath",Hypertension,"Avoid smoking, Rest, Maintain hygiene",Insulin
"Weight Loss, Shortness of Breath, Fatigue, Sore Throat",Lupus,Avoid alcohol,"Oxygen Therapy, Antibiotics, Vitamin Supplements"
"Sweating, Difficulty Swallowing, Cough, Weight Loss",Sciatica,Sleep properly,Surgery
"Cold Hands, Back Pain, Abdominal Pain",Sciatica,"Maintain hygiene, Avoid bright lights, Reduce sugar intake","Antifungal Medication, Inhalers, Shockwave Therapy"
"Nausea, Chest Pain",Sciatica,"Wash hands frequently, Stay hydrated","Anti-inflammatory Drugs, Surgery"
"Back Pain, Headache, Tremors, Runny Nose",Asthma,"Use an inhaler, Wash hands frequently, Drink herbal tea","Cough Syrup, Physiotherapy, Paracetamol"
"Sore Throat, Tremors, Dizziness",Sinusitis,Avoid allergens,Hormonal Therapy
"Joint Pain, Low Blood Pressure, Shortness of Breath, Chest Pain",Malaria,"Maintain hygiene, Use mosquito repellent, Get proper nutrition",Vaccination
"Runny Nose, Dry Skin",Asthma,"Avoid alcohol, Avoid stress, Rest","Hormonal Therapy, Paracetamol"
"Muscle Weakness, Tingling Sensation, Memory Loss, Runny Nose",Arthritis,"Wash hands frequently, Meditate daily","Steroids, Antibiotics"
"Swelling in Legs, Low Blood Pressure, Fever, Cough",Sinusitis,"Meditate daily, Eat healthy","Painkillers, Radiation Therapy"
"Cold Hands, Memory Loss",Eczema,"Maintain hygiene, Get proper nutrition",Bone Marrow Transplant
"Heart Palpitations, Swelling in Legs, Frequent Urination, Swollen Glands",Arthritis,"Wash hands frequently, Avoid stress",Dietary Supplements
"Abdominal Pain, Excessive Thirst",Migraine,"Drink herbal tea, Stay hydrated",Vitamin Supplements
"Frequent Urination, Loss of Appetite",Multiple Sclerosis,"Avoid smoking, Avoid stress",Skin Creams
"Dry Skin, Weight Loss",Epilepsy,"Use mosquito repellent, Stay hydrated, Regular health checkups","Emergency Medical Help, Dietary Supplements, Hormonal Therapy"
"High Blood Pressure, Diarrhea",Colon Cancer,Regular health checkups,"Anti-inflammatory Drugs, Chemotherapy, Paracetamol"
"Joint Pain, Chest Pain, Runny Nose, Heart Palpitations",Typhoid,"Use an inhaler, Eat healthy, Avoid allergens",Inhalers
"Low Blood Pressure, Excessive Thirst, Sensitivity to Light",Asthma,"Use an inhaler, Avoid crowded places",Paracetamol
"Mood Swings, Joint Pain, Sneezing, Swollen Glands",Asthma,Use an inhaler,"Antihistamines, Vitamin Supplements, Eye Drops"
"Ear Pain, Swelling in Legs, Runny Nose",Asthma,Meditate daily,Surgery
"Heart Palpitations, Cough, Mood Swings",Sciatica,"Avoid alcohol, Use an inhaler","Paracetamol, Vaccination"
"Heart Palpitations, Diarrhea, Swelling in Legs",Migraine,"Avoid allergens, Use sunscreen",Antibiotics
"Muscle Weakness, Numbness, Dizziness",Common Cold,Take vaccines,Insulin
"Tremors, Tingling Sensation, Swelling in Legs",Colon Cancer,"Drink herbal tea, Meditate daily, Use sunscreen","Surgery, Vitamin Supplements"
"Nausea, Heart Palpitations, Sore Throat",Brain Tumor,"Wash hands frequently, Drink herbal tea","Paracetamol, Insulin"
"Dry Skin, Dizziness, Sneezing",Anemia,"Avoid stress, Use sunscreen, Avoid crowded places","Emergency Medical Help, Bone Marrow Transplant"
"Itchy Eyes, Shortness of Breath, Chest Pain",Multiple Sclerosis,"Drink herbal tea, Wash hands frequently",Steroids
"Fever, Sweating",Lung Infection,Reduce salt intake,Eye Drops
"Joint Pain, Nosebleeds, Dry Skin",Arrhythmia,"Sleep properly, Avoid bright lights","Skin Creams, Paracetamol, Blood Thinners"
"Fatigue, Shortness of Breath",Food Poisoning,"Eat healthy, Maintain hygiene",Emergency Medical Help
"Numbness, Joint Pain, Loss of Appetite, Swollen Glands",Pneumonia,Regular health checkups,Psychotherapy
"Low Blood Pressure, Nausea, Heart Palpitations",Leukemia,"Avoid allergens, Reduce caffeine intake",Antibiotics
"Nausea, Runny Nose, Fever, Memory Loss",Food Poisoning,"Sleep properly, Avoid crowded places",Dietary Supplements
"Chest Pain, Sneezing",PCOS,"Rest, Avoid bright lights","Antiviral Drugs, Inhalers"
"Muscle Weakness, Runny Nose, Frequent Urination, Dizziness",Lung Infection,"Sleep properly, Monitor blood pressure, Stay hydrated","Hormonal Therapy, Painkillers"
"Tingling Sensation, Blurred Vision",Arrhythmia,Sleep properly,"Antibiotics, Pacemaker Implantation"
"Cough, Dry Skin, Weight Loss",Diabetes,"Monitor blood pressure, Stay hydrated, Avoid smoking",Emergency Medical Help
"Frequent Urination, Chest Pain, Sore Throat, Back Pain",Pancreatitis,"Take vaccines, Avoid crowded places","Shockwave Therapy, Eye Drops"
"Dry Skin, Swollen Glands",Heart Attack,Avoid allergens,"Vaccination, Insulin, Anti-inflammatory Drugs"
"Diarrhea, Ear Pain",Diabetes,"Maintain hygiene, Reduce salt intake","Cough Syrup, IV Fluids, Antiviral Drugs"
"Low Blood Pressure, Cough, Frequent Urination, Difficulty Swallowing",Arthritis,"Maintain hygiene, Monitor blood pressure","Cognitive Therapy, Paracetamol"
"Joint Pain, Cough, Nosebleeds",Eczema,"Take vaccines, Avoid bright lights","Surgery, Shockwave Therapy"
"Fatigue, Weight Loss, Swollen Glands",Lung Infection,Exercise regularly,Antibiotics
"Low Blood Pressure, Muscle Weakness",Malaria,"Reduce salt intake, Reduce sugar intake, Reduce caffeine intake",Antiviral Drugs
"Dizziness, Frequent Urination, Abdominal Pain",Vertigo,Get proper nutrition,"Hormonal Therapy, Vitamin Supplements, Cognitive Therapy"
"Memory Loss, Cough, Back Pain",Lupus,"Eat healthy, Avoid crowded places, Avoid bright lights",Radiation Therapy
"Frequent Urination, Numbness, Joint Pain",Arthritis,"Exercise regularly, Regular health checkups",Painkillers
"Dry Skin, Diarrhea",Diabetes,"Use sunscreen, Exercise regularly, Maintain hygiene","Paracetamol, Anti-inflammatory Drugs"
"Dry Skin, Back Pain, Heart Palpitations, Ear Pain",Hypertension,Avoid smoking,"Dietary Supplements, Anti-inflammatory Drugs"
"Loss of Appetite, Fever, Cough, Heart Palpitations",Vertigo,"Get proper nutrition, Avoid smoking, Avoid stress",Surgery
"Shortness of Breath, Chest Pain, Blurred Vision, Itchy Eyes",Meningitis,"Monitor blood pressure, Wash hands frequently, Take vaccines",Physiotherapy
"Sensitivity to Light, Chest Pain, Shortness of Breath",Lupus,"Rest, Sleep properly, Take vaccines","Hormonal Therapy, Paracetamol, Inhalers"
"Chest Pain, Memory Loss, Itchy Eyes",Common Cold,"Reduce salt intake, Avoid crowded places, Eat healthy","Antibiotics, Blood Thinners"
"High Blood Pressure, Runny Nose",Typhoid,"Use mosquito repellent, Reduce caffeine intake","Blood Thinners, Surgery, Emergency Medical Help"
"Shortness of Breath, Sneezing",Epilepsy,"Take vaccines, Avoid alcohol","Vitamin Supplements, Eye Drops"
"Frequent Urination, Numbness, Blurred Vision",Epilepsy,Wear a mask,Emergency Medical Help
"Numbness, Sensitivity to Light, Sweating",Diabetes,Avoid alcohol,"Steroids, Dietary Supplements"
"Dizziness, Mood Swings",Pneumonia,"Avoid crowded places, Use an inhaler","Paracetamol, Bone Marrow Transplant"
"Diarrhea, Swollen Glands, Tingling Sensation",Asthma,"Meditate daily, Exercise regularly, Regular health checkups",Radiation Therapy
"Loss of Appetite, Rash, Runny Nose, Numbness",Liver Disease,Stay hydrated,Cognitive Therapy
"Low Blood Pressure, Tingling Sensation, Mood Swings",Brain Tumor,Exercise regularly,"Chemotherapy, Anti-inflammatory Drugs, Pacemaker Implantation"
"Frequent Urination, Low Blood Pressure",Eczema,"Use mosquito repellent, Exercise regularly","Radiation Therapy, Hormonal Therapy"
"Runny Nose, Swollen Glands",Colon Cancer,Avoid stress,"Antiviral Drugs, Radiation Therapy, Painkillers"
"High Blood Pressure, Shortness of Breath",Arrhythmia,"Sleep properly, Wear a mask","Steroids, Anti-inflammatory Drugs, Hormonal Therapy"
"Swollen Glands, Chest Pain, Frequent Urination",Asthma,"Drink herbal tea, Avoid stress, Rest","Paracetamol, Blood Thinners, Steroids"
"Muscle Weakness, Nosebleeds, Sneezing, Memory Loss",Colon Cancer,"Use sunscreen, Use mosquito repellent, Maintain hygiene","Antiviral Drugs, Blood Thinners"
"Low Blood Pressure, Fever, Sneezing, Weight Loss",Malaria,"Drink herbal tea, Wear a mask, Use mosquito repellent","IV Fluids, Vaccination, Antibiotics"
"Sore Throat, Excessive Thirst, Diarrhea",Colon Cancer,"Drink herbal tea, Exercise regularly","Cough Syrup, Surgery"
"Low Blood Pressure, Joint Pain, Muscle Weakness, Swollen Glands",Multiple Sclerosis,Use an inhaler,Cognitive Therapy
"Nausea, Headache",Meningitis,Avoid crowded places,Chemotherapy
"Cough, Blurred Vision",Stroke,"Exercise regularly, Regular health checkups",Anti-inflammatory Drugs
"Tremors, Fever",Glaucoma,"Stay hydrated, Reduce salt intake",Skin Creams
"Loss of Appetite, Weight Loss, Numbness",Malaria,"Reduce sugar intake, Avoid bright lights, Meditate daily","Antifungal Medication, Cough Syrup"
"Loss of Appetite, Numbness",Hepatitis,Avoid crowded places,"Skin Creams, Eye Drops"
"Tremors, Dry Skin, Swollen Glands, Sweating",Flu,"Get proper nutrition, Meditate daily",Psychotherapy
"Back Pain, Abdominal Pain, Excessive Thirst, Dizziness",Anemia,Meditate daily,Surgery
"High Blood Pressure, Numbness",Asthma,"Avoid allergens, Reduce sugar intake","Dietary Supplements, Oxygen Therapy"
"Shortness of Breath, Excessive Thirst",Pancreatitis,Use an inhaler,Shockwave Therapy
"Sensitivity to Light, Swollen Glands, Ear Pain",Common Cold,Eat healthy,"Antifungal Medication, Anti-inflammatory Drugs"
"High Blood Pressure, Ear Pain, Sneezing, Frequent Urination",Migraine,"Exercise regularly, Regular health checkups","Pacemaker Implantation, Eye Drops, Dietary Supplements"
"Runny Nose, Ear Pain",Sciatica,"Reduce caffeine intake, Avoid allergens","Eye Drops, Physiotherapy"
"Fatigue, Tremors, Sweating, Numbness",Dengue,"Get proper nutrition, Exercise regularly, Reduce sugar intake","Insulin, Cough Syrup, Psychotherapy"
"Dizziness, Frequent Urination",Hypertension,"Avoid smoking, Wash hands frequently, Drink herbal tea",Insulin
"Swollen Glands, Joint Pain, Muscle Weakness",Sinusitis,"Use sunscreen, Meditate daily","Chemotherapy, Cough Syrup"
"Shortness of Breath, Frequent Urination, Sensitivity to Light, Nausea",Bronchitis,Exercise regularly,"IV Fluids, Cough Syrup"
"Rash, Abdominal Pain",Hypertension,"Sleep properly, Wear a mask",Paracetamol
"Joint Pain, Tremors, Runny Nose",Hypertension,Avoid smoking,"Psychotherapy, Eye Drops, Antibiotics"
"Rash, Numbness, Sneezing, Swollen Glands",Bronchitis,Drink herbal tea,Surgery
"Itchy Eyes, Sweating, Headache",Sciatica,"Avoid crowded places, Avoid stress, Maintain hygiene",Psychotherapy
"Headache, Tremors",Malaria,Regular health checkups,"Vaccination, Cognitive Therapy"
"Tingling Sensation, Blurred Vision, Abdominal Pain, Joint Pain",Arrhythmia,Use sunscreen,"Cognitive Therapy, Eye Drops, Painkillers"
"Dry Skin, Diarrhea, Dizziness",Diabetes,"Monitor blood pressure, Sleep properly","Oxygen Therapy, Pacemaker Implantation"
"Sore Throat, Blurred Vision, Shortness of Breath, Weight Loss",Kidney Stones,"Use an inhaler, Avoid smoking, Use mosquito repellent","Paracetamol, IV Fluids, Eye Drops"
"Shortness of Breath, Chest Pain, Excessive Thirst",Anemia,"Maintain hygiene, Use mosquito repellent, Rest",Oxygen Therapy
"Rash, Tingling Sensation",Heart Attack,Sleep properly,"Hormonal Therapy, Oxygen Therapy"
"Chest Pain, Sore Throat, Nausea, Frequent Urination",Mental Stress,Regular health checkups,Antibiotics
"Weight Loss, High Blood Pressure",Arthritis,Reduce salt intake,"Eye Drops, Bone Marrow Transplant, Blood Thinners"
"Nausea, Headache, Numbness, Dry Skin",Asthma,Avoid crowded places,"Insulin, Antiviral Drugs, Psychotherapy"
"Sneezing, Dry Skin, Cough, Rash",Tuberculosis,Take vaccines,"Vitamin Supplements, Chemotherapy, Psychotherapy"
"Runny Nose, Diarrhea, Fatigue, Shortness of Breath",Kidney Stones,"Use mosquito repellent, Maintain hygiene","Radiation Therapy, Pacemaker Implantation"
"Diarrhea, Fatigue, Loss of Appetite, High Blood Pressure",Glaucoma,"Get proper nutrition, Reduce sugar intake, Use an inhaler","Psychotherapy, Cognitive Therapy"
"Tingling Sensation, Headache, Runny Nose, Abdominal Pain",Tuberculosis,"Reduce caffeine intake, Monitor blood pressure, Exercise regularly","Antiviral Drugs, Painkillers, Oral Rehydration"
"Frequent Urination, Diarrhea, Sore Throat, Sneezing",Common Cold,Avoid crowded places,"Paracetamol, Antibiotics"
"Rash, Weight Loss, Frequent Urination, Shortness of Breath",Sciatica,Maintain hygiene,"Antiviral Drugs, Blood Thinners, Emergency Medical Help"
"Itchy Eyes, Frequent Urination, Heart Palpitations, Fatigue",Diabetes,Avoid stress,Radiation Therapy
"Tingling Sensation, Dizziness, Shortness of Breath",Typhoid,"Avoid stress, Maintain hygiene","Vaccination, Antiviral Drugs, Dietary Supplements"
"Mood Swings, Rash",Liver Disease,"Get proper nutrition, Regular health checkups, Wash hands frequently","Antifungal Medication, IV Fluids"
"Loss of Appetite, Sneezing, Itchy Eyes, Sore Throat",Dengue,"Reduce caffeine intake, Rest, Get proper nutrition","Steroids, Paracetamol"
"Low Blood Pressure, Mood Swings, Tingling Sensation",Pancreatitis,"Avoid crowded places, Exercise regularly",Vitamin Supplements
"Sensitivity to Light, Low Blood Pressure, Loss of Appetite",Liver Disease,Avoid crowded places,Oxygen Therapy
"Loss of Appetite, Nausea",Lupus,"Avoid bright lights, Regular health checkups",Antibiotics
"Fever, Excessive Thirst, Heart Palpitations",Asthma,Eat healthy,"Painkillers, Antiviral Drugs"
"Abdominal Pain, Sore Throat, Chest Pain",Flu,Avoid allergens,"Bone Marrow Transplant, Antiviral Drugs, Antihistamines"
"Swelling in Legs, Headache, Dry Skin, Dizziness",Food Poisoning,"Avoid stress, Drink herbal tea, Avoid alcohol","Vaccination, Paracetamol"
"Frequent Urination, Mood Swings, Joint Pain, Excessive Thirst",Pancreatitis,"Maintain hygiene, Use sunscreen, Monitor blood pressure","Oxygen Therapy, Pacemaker Implantation"
"Sensitivity to Light, Headache",Epilepsy,"Use sunscreen, Avoid bright lights, Stay hydrated","Chemotherapy, Oral Rehydration"
"Cold Hands, Cough, Runny Nose",Migraine,"Reduce caffeine intake, Take vaccines","Anti-inflammatory Drugs, Hormonal Therapy, Psychotherapy"
"Excessive Thirst, Swelling in Legs, Back Pain, Cold Hands",Parkinson’s Disease,"Wash hands frequently, Use mosquito repellent","Antibiotics, Physiotherapy, Pacemaker Implantation"
"Fever, Fatigue",Glaucoma,"Meditate daily, Take vaccines","Surgery, Shockwave Therapy, Painkillers"
"Sweating, Ear Pain, Abdominal Pain",PCOS,Avoid stress,"Pacemaker Implantation, Cough Syrup, Skin Creams"
"Sweating, Nosebleeds, Abdominal Pain",Asthma,Exercise regularly,"Radiation Therapy, Blood Thinners, Cognitive Therapy"
"Shortness of Breath, Diarrhea",Typhoid,"Use an inhaler, Avoid allergens, Exercise regularly","Pacemaker Implantation, Vitamin Supplements, Steroids"
"Blurred Vision, Diarrhea, Frequent Urination",Multiple Sclerosis,"Eat healthy, Maintain hygiene","Surgery, Hormonal Therapy, Oral Rehydration"
"Cough, Tingling Sensation",Liver Disease,Maintain hygiene,"Anti-inflammatory Drugs, Oral Rehydration, IV Fluids"
"Excessive Thirst, Itchy Eyes, Blurred Vision, Dizziness",Tuberculosis,"Take vaccines, Avoid alcohol","Anti-inflammatory Drugs, Antifungal Medication, Hormonal Therapy"
"Loss of Appetite, Fever, Swollen Glands",Hepatitis,"Avoid stress, Use mosquito repellent, Avoid allergens",Chemotherapy
"Weight Loss, Headache, Blurred Vision",Common Cold,"Reduce sugar intake, Avoid stress, Monitor blood pressure","Pacemaker Implantation, Paracetamol"
"Dizziness, Itchy Eyes, Heart Palpitations",Kidney Stones,Avoid allergens,"Bone Marrow Transplant, Oxygen Therapy, Chemotherapy"
"Back Pain, Sneezing, Numbness",Parkinson’s Disease,Maintain hygiene,"Dietary Supplements, Shockwave Therapy"
"Rash, Fatigue",Liver Disease,Exercise regularly,Bone Marrow Transplant
"Abdominal Pain, Blurred Vision, Dry Skin, Shortness of Breath",Lupus,"Use an inhaler, Avoid stress, Regular health checkups","Insulin, Oxygen Therapy, Painkillers"
"Dizziness, Frequent Urination",Arthritis,"Stay hydrated, Avoid crowded places","Antifungal Medication, Antiviral Drugs"
"Abdominal Pain, Headache, High Blood Pressure, Dizziness",Tuberculosis,"Eat healthy, Maintain hygiene","Vaccination, Radiation Therapy, Shockwave Therapy"
"Dizziness, Tremors, Cold Hands",Migraine,Avoid smoking,"Dietary Supplements, Inhalers, Shockwave Therapy"
"Sweating, Memory Loss, Shortness of Breath, Swollen Glands",Lung Infection,"Wash hands frequently, Wear a mask","Skin Creams, Physiotherapy"
"Numbness, Fatigue",Arthritis,"Avoid crowded places, Sleep properly, Avoid allergens",Inhalers
"Tremors, Headache",Arrhythmia,Avoid stress,"Painkillers, Emergency Medical Help, Shockwave Therapy"
"Back Pain, Dry Skin, Fatigue, Swollen Glands",Pancreatitis,Drink herbal tea,"Radiation Therapy, Insulin, Cognitive Therapy"
"Abdominal Pain, Joint Pain, High Blood Pressure, Heart Palpitations",Liver Disease,Avoid crowded places,Painkillers
"Cough, Headache, Runny Nose",Common Cold,"Meditate daily, Reduce caffeine intake, Avoid smoking","IV Fluids, Chemotherapy"
"Difficulty Swallowing, Sore Throat, Tingling Sensation, Swollen Glands",Mental Stress,"Regular health checkups, Reduce caffeine intake, Meditate daily","Radiation Therapy, IV Fluids, Eye Drops"
"Sore Throat, Shortness of Breath",Multiple Sclerosis,Wash hands frequently,"IV Fluids, Inhalers, Insulin"
"Back Pain, Memory Loss",Kidney Stones,Wear a mask,"Oral Rehydration, Hormonal Therapy"
"Fever, Tremors, Headache",Flu,"Use mosquito repellent, Maintain hygiene, Wash hands frequently",Dietary Supplements
"Frequent Urination, Nausea, Mood Swings, Fatigue",PCOS,Get proper nutrition,"Antihistamines, Cognitive Therapy, Inhalers"
"Sneezing, Sore Throat, Joint Pain, Memory Loss",Arthritis,"Wash hands frequently, Avoid bright lights, Stay hydrated","Shockwave Therapy, Paracetamol, Antifungal Medication"
"Sore Throat, Swelling in Legs, Mood Swings",Pancreatitis,Avoid alcohol,"Oxygen Therapy, Surgery"
"Dizziness, Chest Pain, Nausea, Cough",Eczema,"Use mosquito repellent, Reduce caffeine intake",IV Fluids
"Weight Loss, Ear Pain",Multiple Sclerosis,"Take vaccines, Avoid alcohol","Painkillers, Oral Rehydration, Antibiotics"
"Blurred Vision, Chest Pain",Kidney Stones,"Take vaccines, Stay hydrated, Avoid bright lights","Hormonal Therapy, Eye Drops, Cognitive Therapy"
"Sensitivity to Light, Swelling in Legs, Ear Pain",PCOS,"Take vaccines, Avoid stress",Chemotherapy
"Nausea, Itchy Eyes, Shortness of Breath",Lung Infection,Avoid smoking,Shockwave Therapy
"Cough, Sensitivity to Light, Itchy Eyes, Rash",Typhoid,"Use mosquito repellent, Avoid allergens",Surgery
"Itchy Eyes, Back Pain",Liver Disease,"Eat healthy, Exercise regularly",Cough Syrup
"Chest Pain, Dry Skin",Pancreatitis,"Get proper nutrition, Meditate daily, Avoid smoking","Steroids, Pacemaker Implantation"
"Cold Hands, Heart Palpitations",Lung Infection,"Monitor blood pressure, Reduce sugar intake",Oxygen Therapy
"Blurred Vision, Heart Palpitations, High Blood Pressure, Loss of Appetite",Anemia,"Rest, Avoid stress, Maintain hygiene","Chemotherapy, Emergency Medical Help, Hormonal Therapy"
